Epoch, Train Loss, Validation Loss
1,0.19479083588457655,9.718575459854664
2,0.1323978406312809,4.9638428111065656
3,0.07886320020617651,2.068913111026551
4,0.06493495511220215,0.2773765151605807
5,0.06250159967043033,0.15324543222243897
6,0.05850220627273437,0.3379857331339921
7,0.05891130296217088,0.11555734758571311
8,0.05633057185976036,0.0854202380444652
9,0.05691388814146885,0.08809451164546334
10,0.05584893190525665,0.4285381265174755
11,0.054507676141420186,0.1392823194812877
12,0.053369010322522226,0.11986524481339773
13,0.03931088578950877,0.08040971813304791
14,0.05312721232851034,0.19332439748628505
15,0.04108127167845867,0.14736245814198548
16,0.05237709855180389,0.21888513038380822
17,0.03980328946776098,0.07380633546136248
18,0.05200292570355715,0.1827346884399516
19,0.044215774296862714,0.23396850000613
20,0.03699242652859392,0.1225861738858976
21,0.03677429340491342,0.1041008959685731
22,0.03187331633016483,0.15889005345666024
23,0.020807675002325055,0.11246987733398821
24,0.019505498910981724,0.026755237654445124
25,0.01649053077313499,0.02504832538829044
26,0.01589127216313059,0.02546720828360936
27,0.015245185815121201,0.024890935057237586
28,0.015444842588616243,0.022832622679845826
29,0.014839487908908556,0.0221851032891411
30,0.014708055673666925,0.020861052389708618
31,0.014096874930847145,0.021884136936211218
32,0.01417865582383785,0.01835810954428325
33,0.01399855627131335,0.01843104581837662
34,0.013891170660532089,0.018469110144083818
35,0.01383402357486324,0.01607252887319764
36,0.013431632364648963,0.015737618307113725
37,0.013276207234777107,0.01489032244260805
38,0.013254834254958266,0.014381390430907004
39,0.012938051760316736,0.015132295424735242
40,0.012991411441591959,0.01422308055489928
41,0.012972166908594656,0.013210702275323961
42,0.012586017910529221,0.012914809368612622
43,0.012661859480942424,0.012587760462948879
44,0.012275998980734856,0.012348786763806806
45,0.012380016231536443,0.012145565549879696
46,0.012593371365729272,0.012466734854244047
47,0.012235767635183237,0.01184559693504744
48,0.012308823043710674,0.011721115997138693
49,0.012245841047435426,0.011365708995548698
50,0.012432836262511819,0.01127865560751902
51,0.012090629481902407,0.010763004871251656
52,0.012234711030166111,0.01127036640179742
53,0.01226935431724689,0.011291120429025256
54,0.012024637718308787,0.010765138373321187
55,0.01185641273585182,0.010879353333532689
56,0.012158850806928577,0.011411067018461498
57,0.01185395583242665,0.00998449703122838
58,0.011889242175446294,0.010893876768769857
59,0.011825493433699905,0.010702316056127799
60,0.011964000795934444,0.009753034125638906
61,0.011685307228203361,0.010542193648508079
62,0.011948692733863156,0.009560454343981863
63,0.011548439968581587,0.009986423279770793
64,0.011527489585998738,0.009877494491077717
65,0.011552804544987595,0.009360887235070718
66,0.011533935940021488,0.009566379498082993
67,0.011440476570020775,0.009427884304039725
68,0.011632354902853588,0.009385188256370653
69,0.011545024939731181,0.009563455515315884
70,0.01133981813141535,0.008704584980458735
71,0.011356177204942643,0.009400487060909452
72,0.011343536720620322,0.009682280831807307
73,0.011469220992598273,0.009125368258049901
74,0.011465447014795151,0.011101462809661252
75,0.011459391294803428,0.008844106198395181
76,0.011318126104980841,0.008414464019291598
77,0.011220186197538633,0.008948892922166527
78,0.011316475152585692,0.009073599794942312
79,0.01119664421997539,0.008445002198862784
80,0.011234220215382265,0.008117561093738207
81,0.011273952132525265,0.009029601932006363
82,0.011198791071174705,0.009262665355099333
